# time(s) volume
2.0434 0.1335
2.5542 0.0551
3.0650 0.0234
3.5759 0.0107
4.0635 0.1419
4.5743 0.0670
5.0852 0.1337
5.5960 0.0549
6.1068 0.1583
6.6177 0.0686
7.1285 0.0322
7.6394 0.0172
8.1502 0.1270
8.6610 0.0474
9.1719 0.1129
9.6827 0.1084
10.1936 0.1340
10.6812 0.0923
11.1920 0.0952
11.7029 0.0791
12.2137 0.1086
12.7245 0.1020
13.2354 0.0785
13.7462 0.0966
14.2571 0.1313
14.7679 0.0535
15.2555 0.0744
15.7663 0.0719
16.2772 0.1359
16.7880 0.0575
17.2989 0.0973
17.8097 0.0941
18.3205 0.1290
18.8314 0.0688
19.3422 0.0609
19.8531 0.0238
20.3407 0.1132
20.8515 0.0774
21.3624 0.0608
21.8732 0.0389
22.3840 0.1180
22.8949 0.0865
23.4057 0.0517
23.9166 0.0349
24.4042 0.1162
24.9150 0.0740
25.4259 0.0603
25.9367 0.1016
26.4475 0.1114
26.9584 0.1228
27.4692 0.1213
27.9800 0.1077
28.4909 0.1336
29.0017 0.1262
29.5126 0.1455
30.0234 0.1075
30.5110 0.1002
31.0219 0.0702
31.5327 0.1020
32.0435 0.1140
32.5544 0.1149
33.0652 0.1286
33.5761 0.1399
34.0869 0.0467
34.5977 0.1047
35.1086 0.0971
35.6194 0.0691
36.1070 0.0996
36.6179 0.1189
37.1287 0.1129
37.6395 0.0992
38.1504 0.1039
38.6612 0.0892
39.1721 0.0940
39.6829 0.0687
40.1937 0.1064
40.6814 0.1146
41.1922 0.1294
41.7030 0.1181
42.2139 0.0809
42.7247 0.0866
43.2356 0.1111
43.7464 0.0552
44.2572 0.0885
44.7681 0.1002
45.2789 0.1073
45.7898 0.0999
46.2774 0.1029
46.7882 0.0839
47.2990 0.1073
47.8099 0.0543
48.3207 0.0885
48.8316 0.1168
49.3424 0.1154
49.8532 0.1036
50.3409 0.1221
50.8517 0.1135
51.3625 0.1231
51.8734 0.1203
52.3842 0.1159
52.8951 0.0915
53.4059 0.1109
53.9167 0.1001
54.4276 0.0993
54.9384 0.1227
55.4260 0.1289
55.9369 0.1321
56.4477 0.1161
56.9585 0.0910
57.4694 0.1086
57.9802 0.0990
58.4911 0.0861
59.0019 0.1039
59.5127 0.1186
60.0236 0.1304
60.5344 0.0928
61.0220 0.1026
61.5329 0.1058
62.0437 0.1265
62.5546 0.0881
63.0654 0.1071
63.5762 0.0979
64.0871 0.0863
64.5979 0.0838
65.1088 0.0986
65.6196 0.1119
66.1072 0.0963
66.6180 0.0985
67.1289 0.1100
67.6397 0.1205
68.1506 0.1247
68.6614 0.1146
69.1722 0.0922
69.6831 0.1103
70.1707 0.0964
70.6815 0.0968
71.1924 0.0963
71.7032 0.1225
72.2141 0.1313
72.7249 0.1151
73.2357 0.0916
73.7466 0.1080
74.2574 0.1003
74.7683 0.0849
75.2791 0.1019
75.7667 0.1145
76.2776 0.1258
76.7884 0.0908
77.2992 0.1057
77.8101 0.1098
78.3209 0.1278
78.8317 0.0892
79.3426 0.1056
79.8534 0.0974
80.3643 0.0859
80.8519 0.0805
81.3627 0.0968
81.8736 0.1117
82.3844 0.0971
82.8952 0.0998
83.4061 0.1021
83.9169 0.0990
84.4278 0.0692
84.9154 0.0983
85.4262 0.1166
85.9371 0.1106
86.4479 0.0976
86.9587 0.1015
87.4696 0.0887
87.9804 0.0941
88.4912 0.0707
89.0021 0.1068
89.5129 0.1207
90.0238 0.1361
90.5114 0.1153
91.0222 0.0789
91.5331 0.0840
92.0439 0.1108
92.5547 0.0549
93.0656 0.0871
93.5764 0.0998
94.0873 0.1100
94.5981 0.1003
95.1089 0.0897
95.6198 0.0907
96.1074 0.1111
96.6182 0.0548
97.1291 0.0862
97.6399 0.1142
98.1507 0.1164
98.6616 0.1067
99.1724 0.1255
99.6833 0.1295
100.1941 0.0613
100.7049 0.0504
101.2390 0.0209
101.7731 0.0478
102.2839 0.0524
102.7947 0.0546
103.3056 0.1178
