# time(s) volume
0.4180 0.1075
0.7198 0.1029
1.0449 0.0993
1.3468 0.1212
1.6486 0.1085
1.9737 0.0960
2.2988 0.0877
2.6006 0.1065
2.9257 0.0823
3.2276 0.0756
3.5294 0.0822
3.8313 0.0839
4.1332 0.0679
4.4350 0.0607
4.7369 0.0583
5.0387 0.0592
5.3406 0.0405
5.6424 0.0387
5.9443 0.0452
6.2462 0.0470
6.5480 0.0665
6.8499 0.0727
7.1517 0.0751
7.4536 0.0846
7.7555 0.1092
8.0573 0.0823
8.3592 0.0944
8.6610 0.0740
8.9629 0.0877
9.2648 0.0889
9.5666 0.1197
9.8685 0.0966
10.1703 0.0856
10.4722 0.0713
10.7741 0.0681
11.0759 0.0642
11.3778 0.0851
11.6796 0.0884
11.9815 0.2894
12.2834 0.1581
12.5852 0.2043
12.8871 0.1804
13.1889 0.1941
13.4908 0.1924
13.7927 0.2148
14.0945 0.1872
14.4196 0.2659
14.7447 0.2179
15.0465 0.2754
15.3716 0.1685
15.6735 0.2435
15.9985 0.2354
16.3004 0.2818
16.6023 0.2104
16.9041 0.2357
17.2060 0.2054
17.5078 0.1429
17.8097 0.1418
18.1116 0.1236
18.4134 0.1553
18.7153 0.1543
19.0171 0.1489
19.3190 0.1634
19.6209 0.1609
19.9227 0.2183
20.2246 0.2205
20.5264 0.1483
20.8283 0.2571
21.1302 0.1347
21.4320 0.2031
21.7339 0.1582
22.0590 0.1028
22.3840 0.1134
22.7091 0.1092
23.0342 0.0996
23.3593 0.0950
23.6844 0.1178
23.9862 0.0993
24.3113 0.1414
24.6364 0.1218
24.9615 0.0855
25.2633 0.0883
25.5884 0.0874
25.8902 0.1720
26.2385 0.1442
26.5404 0.1329
26.8423 0.1088
27.1673 0.0998
27.4924 0.1170
27.8175 0.0945
28.1426 0.1353
28.4677 0.1070
28.7927 0.1106
29.0946 0.1328
29.4197 0.1171
29.7448 0.1191
30.0466 0.0734
30.3485 0.0870
30.6736 0.0768
30.9986 0.1208
31.3237 0.1292
31.6488 0.1518
31.9739 0.1739
32.2990 0.1381
32.6240 0.1556
32.9259 0.0924
33.2510 0.1524
33.5761 0.1346
33.8779 0.0871
34.2030 0.1061
34.5281 0.1012
34.8532 0.1329
35.1550 0.0839
35.4569 0.0766
35.7587 0.0520
36.0606 0.1391
36.3624 0.0161
36.6643 0.0172
36.9662 0.1341
37.2680 0.1407
37.5699 0.1174
37.8717 0.1353
38.1736 0.0661
38.4755 0.1200
38.7541 0.1118
39.0560 0.1483
39.3578 0.0972
39.6597 0.1464
39.9848 0.1820
40.2866 0.1186
40.5885 0.0916
40.9136 0.1101
41.2386 0.1628
41.5637 0.1458
41.8888 0.1629
42.2139 0.1693
42.5157 0.1265
42.8408 0.1089
43.1427 0.0999
43.4678 0.1457
43.7928 0.0848
44.0947 0.1256
44.4198 0.1184
44.7449 0.1373
45.0699 0.1234
45.3718 0.0903
45.6737 0.0957
45.9987 0.1001
46.3006 0.1670
46.6257 0.1470
46.9507 0.1380
47.2758 0.1429
47.6009 0.1706
47.9260 0.0886
48.2511 0.1059
48.5761 0.1472
48.9012 0.0959
49.2263 0.1570
49.5282 0.1804
49.8532 0.1418
50.1783 0.1723
50.4802 0.0878
50.8053 0.1061
51.1303 0.1043
51.4322 0.1884
51.7573 0.1325
52.0824 0.1650
52.4074 0.1389
52.7325 0.1540
53.0576 0.1779
53.3827 0.1304
53.7078 0.1600
54.0096 0.1449
54.3347 0.1460
54.6366 0.1420
54.9616 0.0991
55.2635 0.1458
55.5886 0.1047
55.8904 0.0930
56.2387 0.0990
56.5638 0.1476
56.8657 0.1575
57.1907 0.1807
57.5158 0.1168
57.8409 0.1756
58.1428 0.1757
58.4678 0.1780
58.7929 0.2027
59.1180 0.1727
59.4431 0.1713
59.7449 0.1981
60.0468 0.1978
60.3487 0.2611
60.6505 0.2142
60.9524 0.1515
61.2542 0.1248
61.5561 0.2040
61.8580 0.2344
62.1598 0.2403
62.4617 0.1977
62.7635 0.1434
63.0654 0.2243
63.3673 0.1812
63.6691 0.1817
63.9710 0.1667
64.2728 0.2596
64.5747 0.2831
64.8766 0.2660
65.1784 0.2089
65.4803 0.2523
65.8054 0.2773
66.1072 0.2608
66.4091 0.2911
66.7109 0.3217
67.0128 0.2234
67.3146 0.2932
67.6165 0.2380
67.9184 0.2458
68.2202 0.2049
68.5221 0.1689
68.8239 0.2690
69.1258 0.2462
69.4277 0.1811
69.7295 0.1340
70.0314 0.1500
70.3332 0.0550
70.6351 0.2844
70.9370 0.2455
71.2388 0.2754
71.5407 0.2342
71.8425 0.1734
72.1444 0.2055
72.4463 0.2680
72.7713 0.1555
73.0732 0.2142
73.3751 0.0967
73.7001 0.2482
74.0252 0.1515
74.3271 0.2335
74.6289 0.2257
74.9540 0.2312
75.2791 0.1534
75.5810 0.2268
75.9060 0.1184
76.2311 0.2408
76.5562 0.1716
76.8580 0.2272
77.1599 0.2358
77.4850 0.2522
77.7868 0.1419
78.0887 0.2382
78.4138 0.2297
78.7389 0.2870
79.0407 0.2528
79.3658 0.2125
79.6677 0.1853
79.9695 0.2721
80.2946 0.1427
80.5965 0.2165
80.8983 0.2283
81.2002 0.2781
81.5253 0.1876
81.8271 0.2462
82.1522 0.1300
82.4541 0.2640
82.7791 0.1574
83.0810 0.2084
83.4061 0.2161
83.7079 0.2426
84.0330 0.1474
84.3349 0.2653
84.6367 0.2049
84.9386 0.2424
85.2637 0.1488
85.5888 0.2632
85.8906 0.1809
86.2157 0.2141
86.5176 0.1501
86.8426 0.2540
87.1677 0.1353
87.4696 0.2787
87.7946 0.2136
