# time(s) volume
5.1548 0.0474
5.5031 0.0599
5.8514 0.0541
6.1997 0.0523
6.5480 0.0502
6.8731 0.0585
7.1982 0.0544
7.5465 0.0534
7.8948 0.0573
8.2431 0.0615
8.5914 0.0612
8.9397 0.0597
9.2880 0.0583
9.6131 0.1426
9.9614 0.1437
10.3097 0.1439
10.6580 0.2650
11.0063 0.2806
11.3546 0.2806
11.7029 0.2897
12.0512 0.2911
12.3995 0.2375
12.7245 0.2945
13.0728 0.3027
13.4211 0.3277
13.7694 0.3037
14.1177 0.3026
14.4660 0.3106
14.8143 0.3288
15.1626 0.3188
15.5109 0.2651
15.8592 0.2720
16.1843 0.3136
16.5326 0.2876
16.8809 0.3225
17.2292 0.3140
17.5775 0.3054
17.9026 0.3129
18.2509 0.2725
18.5992 0.2810
18.9475 0.3061
19.2958 0.2887
19.6441 0.2548
19.9692 0.2825
20.3175 0.3174
20.6658 0.3207
21.0141 0.2892
21.3624 0.2324
21.7107 0.3000
22.0590 0.2962
22.4073 0.2419
22.7323 0.3049
23.0806 0.2337
23.4289 0.2825
23.7772 0.2446
24.1255 0.2765
24.4738 0.3106
24.8221 0.3075
25.1704 0.2722
25.4955 0.2804
25.8438 0.2990
26.1921 0.3309
26.5404 0.2782
26.8655 0.2718
27.2138 0.3302
27.5621 0.2432
27.9104 0.2993
28.2587 0.2922
28.6070 0.3291
28.9321 0.3249
29.2804 0.3111
29.6287 0.2308
29.9770 0.2974
30.3253 0.2221
30.6736 0.2998
30.9986 0.2775
31.3469 0.3072
31.6952 0.3100
32.0435 0.2797
32.3918 0.2699
32.7401 0.3213
33.0884 0.3306
33.4367 0.2801
33.7618 0.3077
34.1101 0.2691
34.4584 0.2709
34.8067 0.3095
35.1550 0.2956
35.5033 0.3017
35.8516 0.2869
36.1999 0.2857
36.5482 0.2787
36.8733 0.3021
37.2216 0.2953
37.5699 0.2916
37.9182 0.2825
38.2665 0.2895
38.5916 0.2569
38.9399 0.2758
39.2882 0.2603
39.6365 0.2833
39.9848 0.3062
40.3331 0.2623
40.6814 0.2230
41.0297 0.3063
41.3780 0.2372
41.7030 0.2504
42.0513 0.2237
42.3996 0.2834
42.7479 0.2719
43.0962 0.2433
43.4213 0.2185
43.7696 0.2772
44.1179 0.2192
44.4662 0.2608
44.8145 0.2206
45.1628 0.2733
45.4879 0.2791
45.8362 0.2467
46.1845 0.2033
46.5328 0.2677
46.8811 0.3048
47.2294 0.2533
